,Month,DayofMonth,DayOfWeek,Reporting_Airline,Flight_Number_Reporting_Airline,DepTime,DepDelay,ArrTime,ArrDelay
359,2,2,7,B6,723,1359.0,-1.0,1733.0,14.0
360,2,3,1,B6,723,1356.0,-4.0,1710.0,-9.0
361,2,4,2,B6,723,1347.0,-13.0,1715.0,-4.0
362,2,5,3,B6,723,1352.0,-8.0,1730.0,11.0
363,2,6,4,B6,723,1354.0,-6.0,1716.0,-3.0
364,2,7,5,B6,723,1434.0,34.0,1831.0,72.0
366,2,10,1,B6,723,1353.0,-7.0,1744.0,25.0
367,2,11,2,B6,723,1352.0,-8.0,1730.0,11.0
368,2,12,3,B6,723,1351.0,-9.0,1807.0,48.0
369,2,13,4,B6,723,1555.0,-4.0,1928.0,-3.0
370,2,14,5,B6,723,1631.0,-4.0,1953.0,-5.0
371,2,15,6,B6,723,1554.0,-5.0,2000.0,29.0
372,2,16,7,B6,723,1631.0,-4.0,1959.0,1.0
373,2,17,1,B6,723,1635.0,0.0,2038.0,40.0
374,2,18,2,B6,723,1608.0,9.0,1939.0,9.0
375,2,19,3,B6,723,1712.0,37.0,2024.0,26.0
376,2,20,4,B6,723,1550.0,-9.0,1910.0,-20.0
377,2,21,5,B6,723,1643.0,8.0,1933.0,-25.0
378,2,22,6,B6,723,1551.0,-8.0,1827.0,-64.0
379,2,23,7,B6,723,1630.0,-5.0,1910.0,-48.0
380,2,24,1,B6,723,1628.0,-7.0,1931.0,-27.0
381,2,1,6,B6,823,1948.0,8.0,2306.0,-2.0
382,2,2,7,B6,823,1826.0,-4.0,2152.0,3.0
383,2,3,1,B6,823,1822.0,-8.0,2146.0,-3.0
384,2,4,2,B6,823,1830.0,0.0,2155.0,6.0
385,2,5,3,B6,823,1821.0,-9.0,2212.0,23.0
386,2,6,4,B6,823,1919.0,49.0,2252.0,63.0
387,2,7,5,B6,823,1821.0,-9.0,2213.0,24.0
388,2,8,6,B6,823,1927.0,-13.0,18.0,70.0
389,2,9,7,B6,823,1824.0,-6.0,2224.0,35.0
390,2,10,1,B6,823,1825.0,-5.0,2155.0,6.0
391,2,11,2,B6,823,1828.0,-2.0,2150.0,1.0
392,2,12,3,B6,823,1823.0,-7.0,2159.0,10.0
393,2,13,4,B6,823,1736.0,0.0,2126.0,26.0
394,2,14,5,B6,823,1732.0,-4.0,2109.0,9.0
395,2,15,6,B6,823,1741.0,5.0,2151.0,51.0
396,2,16,7,B6,823,1743.0,7.0,2124.0,24.0
397,2,17,1,B6,823,1733.0,-3.0,2119.0,19.0
398,2,18,2,B6,823,1734.0,-2.0,2058.0,-2.0
399,2,19,3,B6,823,1845.0,69.0,2226.0,86.0
400,2,20,4,B6,823,1744.0,8.0,2043.0,-17.0
401,2,21,5,B6,823,1729.0,-7.0,2008.0,-52.0
402,2,22,6,B6,823,1835.0,59.0,2123.0,23.0
403,2,23,7,B6,823,1729.0,-7.0,2015.0,-45.0
404,2,24,1,B6,823,1725.0,-15.0,2101.0,-1.0
405,2,25,2,B6,823,1537.0,-8.0,1855.0,-22.0
406,2,26,3,B6,823,1538.0,-7.0,1844.0,-33.0
407,2,27,4,B6,823,1540.0,-5.0,1758.0,-79.0
408,2,28,5,B6,823,1544.0,-1.0,1850.0,-27.0
409,2,13,4,B6,1723,2023.0,-3.0,52.0,57.0
410,2,14,5,B6,1723,2023.0,-3.0,2347.0,-8.0
411,2,15,6,B6,1723,2021.0,-5.0,18.0,23.0
412,2,16,7,B6,1723,2048.0,22.0,37.0,42.0
413,2,17,1,B6,1723,2032.0,6.0,25.0,30.0
414,2,18,2,B6,1723,2014.0,-12.0,2349.0,-6.0
415,2,19,3,B6,1723,2111.0,45.0,40.0,45.0
416,2,20,4,B6,1723,2209.0,103.0,158.0,123.0
417,2,21,5,B6,1723,2330.0,184.0,215.0,140.0
418,2,22,6,B6,1723,2015.0,-11.0,2308.0,-47.0
419,2,23,7,B6,1723,2024.0,-2.0,2302.0,-53.0
420,2,24,1,B6,1723,2011.0,-15.0,2312.0,-43.0
421,2,25,2,B6,1723,2104.0,-6.0,30.0,-20.0
422,2,26,3,B6,1723,2102.0,-8.0,2.0,-48.0
423,2,27,4,B6,1723,2107.0,-3.0,2345.0,-65.0
424,2,28,5,B6,1723,2104.0,-6.0,16.0,-34.0
425,2,13,4,B6,2223,753.0,-8.0,1154.0,27.0
426,2,14,5,B6,2223,754.0,-7.0,1130.0,-6.0
427,2,15,6,B6,2223,753.0,-8.0,1113.0,-23.0
428,2,16,7,B6,2223,757.0,-4.0,1130.0,-6.0
429,2,17,1,B6,2223,751.0,-10.0,1135.0,-1.0
430,2,18,2,B6,2223,1008.0,127.0,1333.0,117.0
431,2,19,3,B6,2223,756.0,-5.0,1107.0,-29.0
432,2,20,4,B6,2223,756.0,-5.0,1119.0,-17.0
433,2,21,5,B6,2223,756.0,-5.0,1103.0,-33.0
434,2,22,6,B6,2223,756.0,-5.0,1047.0,-49.0
435,2,23,7,B6,2223,752.0,-9.0,1039.0,-57.0
436,2,24,1,B6,2223,757.0,-4.0,1053.0,-43.0
437,2,25,2,B6,2223,857.0,-3.0,1202.0,-18.0
438,2,26,3,B6,2223,853.0,-7.0,1154.0,-26.0
