year,player,surface,matches_tot,matches_w,perc_2nd_overall,perc_2nd_w,margin_2nd_w,matches_2nd_w
1991,Jacco Eltingh,Clay,10,3,11.566666666666666,11.333333333333334,-2.0,1
1991,Jacco Eltingh,Grass,8,5,23.25,24.0,1.6000000000000014,1
1991,Jacco Eltingh,Hard,16,4,14.1875,19.5,0.75,1
1991,Tomasz Iwanski,Carpet,1,1,,,,0
1991,Tomasz Iwanski,Clay,1,0,,,,0
1991,Michael Joyce,Hard,2,1,24.5,29.0,1.0,1
1991,Adrian Marcu,Carpet,2,0,,,,0
1991,Adrian Marcu,Clay,2,2,,,,0
1991,Derrick Rostagno,Carpet,11,6,14.090909090909092,11.833333333333334,-3.5,0
1991,Derrick Rostagno,Clay,4,0,,,,0
1991,Derrick Rostagno,Grass,7,4,19.142857142857142,21.5,2.75,0
1991,Derrick Rostagno,Hard,41,29,13.560975609756097,13.931034482758621,-1.4827586206896548,4
1991,Karol Kucera,Clay,2,1,15.5,26.0,12.0,1
1991,Arafat Chekrouni,Clay,2,0,,,,0
1991,Martin Jaite,Carpet,7,2,19.523809523809522,27.5,6.5,1
1991,Martin Jaite,Clay,28,17,17.120535714285715,18.375,6.0,7
1991,Martin Jaite,Grass,1,1,,,,0
1991,Martin Jaite,Hard,12,5,16.166666666666668,16.0,2.1999999999999993,1
1991,Morten Christensen,Hard,1,0,,,,0
1991,Rick Leach,Carpet,3,0,,,,0
1991,Rick Leach,Clay,2,0,,,,0
1991,Rick Leach,Grass,1,0,,,,0
1991,Rick Leach,Hard,2,0,,,,0
1991,Alexandre Hocevar,Carpet,1,0,,,,0
1991,Juan Aguilera,Carpet,2,0,,,,0
1991,Juan Aguilera,Clay,16,3,11.416666666666666,14.666666666666666,-2.666666666666666,0
1991,Juan Aguilera,Grass,1,0,,,,0
1991,Juan Aguilera,Hard,3,1,11.0,20.0,0.0,0
1991,Nduka Odizor,Carpet,1,0,,,,0
1991,Nduka Odizor,Clay,4,3,,,,0
1991,Jehad Sheet,Clay,2,0,,,,0
1991,Sandor Noszaly,Carpet,1,0,,,,0
1991,Sandor Noszaly,Clay,3,2,,,,0
1991,Wayne Ferreira,Carpet,8,4,14.25,13.0,0.0,1
1991,Wayne Ferreira,Clay,8,4,15.125,16.0,-1.0,1
1991,Wayne Ferreira,Grass,4,2,16.5,15.5,4.0,0
1991,Wayne Ferreira,Hard,27,16,15.88888888888889,16.3125,-0.25,2
1991,Carl Uwe Steeb,Carpet,19,10,14.894736842105264,14.9,-0.5,2
1991,Carl Uwe Steeb,Clay,26,12,14.253846153846155,16.416666666666668,6.333333333333334,2
1991,Carl Uwe Steeb,Grass,1,0,,,,0
