,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum
31,2025,1,2,4,2,2025-02-04,AA,19805,AA,N111ZM,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1455,235.00,235.00,1.00,12,1100-1159,21.00,1516,1813,5.00,1430,1818,228.00,228.00,1.00,12,1400-1459,0.00,,0.00,390.00,383.00,357.00,1.00,2475.00,10,4.00,0.00,0.00,0.00,224.00,,,,0,,,,,,,,,,,,
32,2025,1,2,5,3,2025-02-05,AA,19805,AA,N117AN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1101,1.00,1.00,0.00,0,1100-1159,36.00,1137,1453,7.00,1430,1500,30.00,30.00,1.00,2,1400-1459,0.00,,0.00,390.00,419.00,376.00,1.00,2475.00,10,1.00,0.00,29.00,0.00,0.00,,,,0,,,,,,,,,,,,
33,2025,1,2,6,4,2025-02-06,AA,19805,AA,N104NN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1050,-10.00,0.00,0.00,-1,1100-1159,28.00,1118,1440,6.00,1430,1446,16.00,16.00,1.00,1,1400-1459,0.00,,0.00,390.00,416.00,382.00,1.00,2475.00,10,0.00,0.00,16.00,0.00,0.00,,,,0,,,,,,,,,,,,
34,2025,1,2,7,5,2025-02-07,AA,19805,AA,N108NN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1053,-7.00,0.00,0.00,-1,1100-1159,21.00,1114,1429,7.00,1430,1436,6.00,6.00,0.00,0,1400-1459,0.00,,0.00,390.00,403.00,375.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
35,2025,1,2,8,6,2025-02-08,AA,19805,AA,N101NN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1059,1054,-5.00,0.00,0.00,-1,1000-1059,21.00,1115,1421,6.00,1429,1427,-2.00,0.00,0.00,-1,1400-1459,0.00,,0.00,390.00,393.00,366.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
36,2025,1,2,9,7,2025-02-09,AA,19805,AA,N107NN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1059,1054,-5.00,0.00,0.00,-1,1000-1059,16.00,1110,1428,9.00,1429,1437,8.00,8.00,0.00,0,1400-1459,0.00,,0.00,390.00,403.00,378.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
37,2025,1,2,10,1,2025-02-10,AA,19805,AA,N103NN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1057,-3.00,0.00,0.00,-1,1100-1159,22.00,1119,1443,6.00,1430,1449,19.00,19.00,1.00,1,1400-1459,0.00,,0.00,390.00,412.00,384.00,1.00,2475.00,10,0.00,0.00,19.00,0.00,0.00,,,,0,,,,,,,,,,,,
38,2025,1,2,11,2,2025-02-11,AA,19805,AA,N112AN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1053,-7.00,0.00,0.00,-1,1100-1159,17.00,1110,1417,4.00,1430,1421,-9.00,0.00,0.00,-1,1400-1459,0.00,,0.00,390.00,388.00,367.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
39,2025,1,2,12,3,2025-02-12,AA,19805,AA,N111ZM,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1452,232.00,232.00,1.00,12,1100-1159,25.00,1517,1829,8.00,1430,1837,247.00,247.00,1.00,12,1400-1459,0.00,,0.00,390.00,405.00,372.00,1.00,2475.00,10,7.00,0.00,15.00,0.00,225.00,,,,0,,,,,,,,,,,,
40,2025,1,2,13,4,2025-02-13,AA,19805,AA,N105NN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1055,-5.00,0.00,0.00,-1,1100-1159,49.00,1144,1455,3.00,1430,1458,28.00,28.00,1.00,1,1400-1459,0.00,,0.00,390.00,423.00,371.00,1.00,2475.00,10,0.00,0.00,28.00,0.00,0.00,,,,0,,,,,,,,,,,,
41,2025,1,2,14,5,2025-02-14,AA,19805,AA,N113AN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1056,-4.00,0.00,0.00,-1,1100-1159,18.00,1114,1406,7.00,1430,1413,-17.00,0.00,0.00,-2,1400-1459,0.00,,0.00,390.00,377.00,352.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
42,2025,1,2,15,6,2025-02-15,AA,19805,AA,N108NN,3,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1100,1057,-3.00,0.00,0.00,-1,1100-1159,16.00,1113,1415,6.00,1430,1421,-9.00,0.00,0.00,-1,1400-1459,0.00,,0.00,390.00,384.00,362.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
