year,tournament,surface,tourney_level,avg_sets_R16,avg_diff_games_R16,avg_tot_games_R16,avg_rank_R16,fave_ratio_R16,avg_sets_QF,avg_diff_games_QF,avg_tot_games_QF,avg_rank_QF,fave_ratio_QF,avg_sets_SF,avg_diff_games_SF,avg_tot_games_SF,avg_rank_SF,fave_ratio_SF,avg_sets_F,avg_diff_games_F,avg_tot_games_F,avg_rank_F,fave_ratio_F
2001,Wimbledon,Grass,G,3.875,6.375,39.125,27.125,0.625,3.75,4.5,40.5,37.0,0.75,5.0,0.5,50.5,67.5,0.0,5.0,1.0,51.0,125.0,0.0
2001,US Open,Hard,G,3.375,6.75,33.25,18.5,0.75,3.75,6.0,39.0,6.0,0.5,3.0,10.5,26.5,7.0,0.5,3.0,11.0,27.0,4.0,1.0
2001,Australian Open,Hard,G,3.375,7.25,33.25,21.875,0.5,3.5,7.75,35.75,14.5,0.75,5.0,2.5,51.5,12.0,1.0,3.0,10.0,26.0,6.0,1.0
2002,Madrid Masters,Hard,M,2.375,5.5,23.25,20.25,0.75,2.25,4.75,22.25,17.25,0.75,2.5,3.5,23.5,5.5,1.0,0.0,0.0,0.0,2.0,1.0
2002,Paris Masters,Carpet,M,2.25,4.625,23.125,12.5,0.5,2.25,3.5,24.0,9.25,0.5,2.5,3.0,26.0,3.0,1.0,3.0,9.0,29.0,5.0,0.0
2002,Miami Masters,Hard,M,2.25,4.0,15.5,19.0,0.625,2.25,5.25,21.25,14.5,1.0,2.0,2.5,9.5,12.0,0.5,4.0,5.0,37.0,10.0,1.0
2002,Indian Wells Masters,Hard,M,2.25,4.375,22.125,26.625,0.625,2.0,5.25,19.25,22.25,0.75,2.0,6.0,18.0,6.0,1.0,2.0,9.0,15.0,1.0,1.0
2002,Monte Carlo Masters,Clay,M,2.375,4.625,20.625,11.75,0.875,2.5,3.75,23.25,10.75,0.75,3.0,3.5,26.5,15.0,0.5,3.0,7.0,31.0,4.0,1.0
2002,Hamburg Masters,Clay,M,2.125,4.125,21.875,26.75,0.625,2.75,5.5,24.5,23.25,0.5,2.0,2.0,10.0,9.5,1.0,3.0,10.0,26.0,14.0,0.0
2002,Rome Masters,Clay,M,2.25,5.125,21.375,21.25,0.75,2.25,4.0,22.5,11.25,1.0,2.0,5.5,20.5,8.0,1.0,3.0,12.0,24.0,9.0,0.0
